position_id,symbol,entry_time,exit_time,entry_price,exit_price,profit,adverse
449223946,USTEC,2026-08-04 07:59:50,2026-08-04 09:13:11,28966.48,28920.63,2.29,"{'adverse_buy': np.float64(-60.48999999999796), 'adverse_sell': np.float64(63.25)}"
449221702,US500,2026-08-04 07:53:49,2026-08-04 08:32:24,7625.2300000000005,7622.54,0.38,"{'adverse_buy': np.float64(-6.470000000000255), 'adverse_sell': np.float64(2.2499999999990905)}"
449205128,USDJPY,2026-08-04 07:37:22,2026-08-04 09:07:14,157.73,157.926,-17.38,"{'adverse_buy': np.float64(-0.07200000000000273), 'adverse_sell': np.float64(0.21600000000000819)}"
449205007,USDJPY,2026-08-04 07:22:08,2026-08-04 09:07:44,157.655,157.943,-25.53,"{'adverse_buy': np.float64(-0.04400000000001114), 'adverse_sell': np.float64(0.2909999999999968)}"
449204849,USDJPY,2026-08-04 07:21:49,2026-08-04 09:07:38,157.667,157.939,-1.72,"{'adverse_buy': np.float64(-0.056000000000011596), 'adverse_sell': np.float64(0.27899999999999636)}"
449141283,USDJPY,2026-08-04 03:58:53,2026-08-04 06:14:02,157.66,157.727,-5.95,"{'adverse_buy': np.float64(-0.18299999999999272), 'adverse_sell': np.float64(0.11199999999999477)}"
449141368,GBPJPY,2026-08-04 03:33:55,2026-08-04 06:14:02,211.717,211.744,-2.4,"{'adverse_buy': np.float64(-0.2990000000000066), 'adverse_sell': np.float64(0.0689999999999884)}"
449140688,USDJPY,2026-08-04 03:21:49,2026-08-04 06:14:02,157.627,157.727,-0.63,"{'adverse_buy': np.float64(-0.19900000000001228), 'adverse_sell': np.float64(0.1449999999999818)}"
449140689,GBPJPY,2026-08-04 03:21:49,2026-08-04 05:20:32,211.689,211.581,0.69,"{'adverse_buy': np.float64(-0.2709999999999866), 'adverse_sell': np.float64(0.040000000000020464)}"
449080001,USDJPY,2026-08-04 00:04:17,2026-08-04 02:01:40,157.418,157.685,-23.7,"{'adverse_buy': np.float64(-0.19200000000000728), 'adverse_sell': np.float64(0.3119999999999834)}"
449079382,US30,2026-08-04 00:02:27,2026-08-04 06:14:02,53322.0,53371.1,-6.87,"{'adverse_buy': np.float64(-21.0), 'adverse_sell': np.float64(76.0)}"
449078883,DE30,2026-08-04 00:01:45,2026-08-04 02:10:53,26123.2,26122.9,0.05,"{'adverse_buy': np.float64(-41.79999999999927), 'adverse_sell': np.float64(41.20000000000073)}"
449078305,USTEC,2026-08-04 00:01:06,2026-08-04 05:35:34,28847.73,28950.86,-14.44,"{'adverse_buy': np.float64(-118.73999999999796), 'adverse_sell': np.float64(123.7400000000016)}"
449069690,DE30,2026-08-03 23:31:48,2026-08-04 01:11:53,26116.2,26106.4,0.79,"{'adverse_buy': np.float64(-34.79999999999927), 'adverse_sell': np.float64(12.0)}"
449068458,US30,2026-08-03 23:23:48,2026-08-04 06:14:02,53315.0,53371.1,-2.81,"{'adverse_buy': np.float64(-14.0), 'adverse_sell': np.float64(83.0)}"
449066820,USDJPY,2026-08-03 23:15:49,2026-08-03 23:46:01,157.321,157.569,-1.5699999999999998,"{'adverse_buy': np.float64(-0.06399999999999295), 'adverse_sell': np.float64(0.34899999999998954)}"
449037824,US500,2026-08-03 20:51:21,2026-08-04 01:54:28,7612.2300000000005,7627.12,-2.08,"{'adverse_buy': np.float64(-2.6700000000000728), 'adverse_sell': np.float64(15.549999999999272)}"
